Timestamp,Pre_PRBS_Tank_Temp,Cold_Valve_%,Hot_Valve_%,Flow_Rate,Mixed_Temperature,Is_Settling
2025-06-18 16:57:43,47.17702012,10.002967566362935,9.783580570301405,13.201712088381603,32.24248695975577,1
2025-06-18 16:57:44,47.17702012,10.002967566362935,9.783580570301405,11.25899533066805,32.252252879713545,0
2025-06-18 16:57:45,47.17702012,10.002967566362935,9.783580570301405,6.223944822534867,33.43561393918124,0
2025-06-18 16:57:45,47.17702012,10.002967566362935,9.783580570301405,4.216269417401654,36.79826851944253,0
2025-06-18 16:57:46,47.17702012,10.002967566362935,9.783580570301405,3.8099002044740136,38.72582064174327,0
2025-06-18 16:57:46,47.17702012,10.002967566362935,9.783580570301405,3.6573229163487655,39.16230282823942,0
2025-06-18 16:57:47,47.17702012,10.002967566362935,9.783580570301405,3.6074709311197237,39.08326956643755,0
2025-06-18 16:58:19,44.96503924,26.665221251145855,6.781272115336677,12.609530930509354,32.14482775974508,1
2025-06-18 16:58:19,44.96503924,26.665221251145855,6.781272115336677,10.96743675038911,32.15215219970684,0
2025-06-18 16:58:20,44.96503924,26.665221251145855,6.781272115336677,9.500579851680044,32.15215219966158,0
2025-06-18 16:58:20,44.96503924,26.665221251145855,6.781272115336677,9.399365215002899,32.15703515965789,0
2025-06-18 16:58:21,44.96503924,26.665221251145855,6.781272115336677,10.127506332590716,32.70814100046463,0
2025-06-18 16:58:21,44.96503924,26.665221251145855,6.781272115336677,10.03384502700888,32.72367465792139,0
2025-06-18 16:58:22,44.96503924,26.665221251145855,6.781272115336677,10.169804986724449,32.725579401294375,0
2025-06-18 16:58:22,44.96503924,26.665221251145855,6.781272115336677,10.03384502700888,32.73731121694565,0
2025-06-18 16:58:23,44.96503924,26.665221251145855,6.781272115336677,10.119953001495407,32.73523367676267,0
2025-06-18 16:58:24,44.96503924,26.665221251145855,6.781272115336677,10.094271675771354,32.75198313216283,0
2025-06-18 16:58:24,44.96503924,26.665221251145855,6.781272115336677,10.287636951811272,32.734383873796354,0
2025-06-18 16:58:25,44.96503924,26.665221251145855,6.781272115336677,10.068590350047304,32.74956458946619,0
2025-06-18 16:58:25,44.96503924,26.665221251145855,6.781272115336677,10.181890316476943,32.74955989696026,0
2025-06-18 16:58:26,44.96503924,26.665221251145855,6.781272115336677,10.310296945097202,32.73352528725468,0
2025-06-18 16:58:26,44.96503924,26.665221251145855,6.781272115336677,10.334467604602192,32.73402280114503,0
2025-06-18 16:58:27,44.96503924,26.665221251145855,6.781272115336677,10.23627430036317,32.74002246257862,0
2025-06-18 16:58:28,44.96503924,26.665221251145855,6.781272115336677,10.240806299020356,32.73679464048281,0
2025-06-18 16:58:59,43.38540168000001,22.436875851687354,9.337126219207466,13.088412121951963,32.07890779975491,1
2025-06-18 16:59:31,42.65295768000001,11.840777875773053,6.272165749732921,12.973601489303263,32.06181743975287,1
2025-06-18 16:59:32,42.65295768000001,11.840777875773053,6.272165749732921,10.8767967772454,32.04961003970534,0
2025-06-18 16:59:32,42.65295768000001,11.840777875773053,6.272165749732921,5.965620899075289,32.05693447946264,0
2025-06-18 16:59:33,42.65295768000001,11.840777875773053,6.272165749732921,3.684514908291879,32.0740248391295,0
2025-06-18 16:59:33,42.65295768000001,11.840777875773053,6.272165749732921,3.5289162877285074,33.55998210074421,0
2025-06-18 16:59:34,42.65295768000001,11.840777875773053,6.272165749732921,3.335551011688589,33.662424304570514,0
2025-06-18 16:59:34,42.65295768000001,11.840777875773053,6.272165749732921,3.3551896725363934,33.68826304036469,0
2025-06-18 16:59:35,42.65295768000001,11.840777875773053,6.272165749732921,3.3174230170598467,33.70650109592385,0
2025-06-18 16:59:36,42.65295768000001,11.840777875773053,6.272165749732921,3.2600177007354962,33.720973934683876,0
2025-06-18 16:59:36,42.65295768000001,11.840777875773053,6.272165749732921,2.7207098605304116,32.13017887881905,0
2025-06-18 16:59:37,42.65295768000001,11.840777875773053,6.272165749732921,2.673879207739494,32.127737398798466,0
2025-06-18 16:59:37,42.65295768000001,11.840777875773053,6.272165749732921,2.6633045442060608,32.1301788787936,0
2025-06-18 16:59:38,42.65295768000001,11.840777875773053,6.272165749732921,3.275124362926115,33.70411252005947,0
2025-06-18 16:59:38,42.65295768000001,11.840777875773053,6.272165749732921,2.770561845759453,32.130178878840304,0
2025-06-18 16:59:39,42.65295768000001,11.840777875773053,6.272165749732921,3.3446150090029603,33.667360711802786,0
2025-06-18 16:59:40,42.65295768000001,11.840777875773053,6.272165749732921,3.358211004974517,33.662207029856816,0
2025-06-18 16:59:40,42.65295768000001,11.840777875773053,6.272165749732921,3.2434003723258154,33.7227049970972,0
2025-06-18 16:59:41,42.65295768000001,11.840777875773053,6.272165749732921,3.1905270546586504,33.74374283810905,0
2025-06-18 16:59:41,42.65295768000001,11.840777875773053,6.272165749732921,3.2086550492873926,33.737098023844986,0
2025-06-18 16:59:42,42.65295768000001,11.840777875773053,6.272165749732921,3.2358470412305063,33.71013558667065,0
2025-06-18 17:00:13,42.21593276,12.512248243852131,9.439673081086347,12.944898831141087,32.04961003975242,1
2025-06-18 17:00:45,42.20616684,20.852130179841716,5.642411993495554,13.108050782799769,32.05449299975546,1
2025-06-18 17:01:17,42.1744276,20.800003880501237,9.770380207199699,13.221350749229408,32.05449299975756,1
2025-06-18 17:06:53,42.1011832,34.53015372,15.108885824489317,9.849864470785255,0,0.0,1
2025-06-18 17:06:54,42.1011832,34.53015372,15.108885824489317,9.849864470785255,0,0.0,1
2025-06-18 17:06:54,42.1011832,34.53015372,15.108885824489317,9.849864470785255,1.1994689779351178,38.21058026981186,1
2025-06-18 17:06:55,42.1011832,34.53015372,15.108885824489317,9.849864470785255,3.770622882778405,37.045622496533554,1
2025-06-18 17:06:55,42.1011832,34.53015372,15.108885824489317,9.849864470785255,4.51387066255684,36.49050609403764,1
2025-06-18 17:06:56,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.140797143467513,36.24177684150484,1
2025-06-18 17:06:57,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.376461073641163,36.003417799914786,1
2025-06-18 17:06:57,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.448973052156132,35.807447791136596,1
2025-06-18 17:06:58,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.393078402050843,35.65574165258256,1
2025-06-18 17:06:58,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.361354411450545,35.52559856785809,1
2025-06-18 17:06:59,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.41422772911771,35.417277466756566,1
2025-06-18 17:06:59,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.2540971098971525,35.36602296783753,1
2025-06-18 17:07:00,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.346247749259926,35.19409761376386,1
2025-06-18 17:07:01,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.562273018585772,35.026953788082935,1
2025-06-18 17:07:01,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.266182439649647,35.096096627446016,1
2025-06-18 17:07:02,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.072817163609729,35.12929203883103,1
2025-06-18 17:07:02,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.474654377880184,34.901080823203564,1
2025-06-18 17:07:03,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.622699667348247,34.77937884329333,1
2025-06-18 17:07:03,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.533570360423597,34.76636807578996,0
2025-06-18 17:07:04,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.4383983886227,34.78726190902701,0
2025-06-18 17:07:05,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.365886410107731,34.82003822813487,0
2025-06-18 17:07:05,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.427823725089267,34.816504736291485,0
2025-06-18 17:07:06,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.539613025299844,34.75811750998069,0
2025-06-18 17:07:06,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.80397961363567,34.64763262781532,0
2025-06-18 17:07:07,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.6891689809869685,34.6961458343981,0
2025-06-18 17:07:07,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.467101046784875,34.8519413230652,0
2025-06-18 17:07:08,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.207266457106234,35.003392863557565,0
2025-06-18 17:07:09,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.3266090884121216,35.00779472948459,0
2025-06-18 17:07:09,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.21179845576342,35.13718349161567,0
2025-06-18 17:07:10,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.155903805658132,35.188058540882125,0
2025-06-18 17:07:10,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.367397076326792,35.12009032523366,0
2025-06-18 17:07:11,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.521485030671102,35.097368639911544,0
2025-06-18 17:07:11,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.515442365794854,35.09838060485255,0
2025-06-18 17:07:12,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.131733146153142,35.32528345499607,0
2025-06-18 17:07:13,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.4716330454420605,35.16060560013047,0
2025-06-18 17:07:13,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.553209021271401,35.14619836711466,0
2025-06-18 17:07:14,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.408185064241462,35.25256173619733,0
2025-06-18 17:07:14,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.32509842219306,35.32177850191826,0
2025-06-18 17:07:15,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.220862453077792,35.41188687427543,0
2025-06-18 17:07:15,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.242011780144658,35.400076965607106,0
2025-06-18 17:07:16,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.613635670033876,35.22712924350595,0
2025-06-18 17:07:17,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.740531632435072,35.206739226965645,0
2025-06-18 17:07:17,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.556230353709525,35.309100014068164,0
2025-06-18 17:07:18,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.485229041413618,35.362549126824334,0
2025-06-18 17:07:18,42.1011832,34.53015372,15.108885824489317,9.849864470785255,5.22690511795404,35.53209477351674,0
